Asset Category,Asset Name as at 31 March 2014,Holding,Market Value (£),Energy utility,Coal / mining,Oil and gas
,GEN ELEC CAP CORP 6.5%-FR SUB NTS 15/9/67 GBP,900000,982125,No,No,No
,GEN MTRS CO COM,283200,5846950.43,No,No,No
,GENERAL MILLS INC COM,147284,4578026.23,No,No,No
,GENTING MALAYSIA B MYR0.10,1689900,1300620.59,No,No,No
,GENUINE PARTS CO COM,73400,3822884.33,No,No,No
,GEORGE WESTON COM NPV,79900,3574429.23,No,No,No
,GIVAUDAN AG CHF10,4295,3983880.78,No,No,No
,GLAXOSMITHKLINE CA 5.25% GTD EMTN 10/4/42 GBP,800000,902537.6,No,No,No
,GLAXOSMITHKLINE ORD GBP0.25,1068595,17001346.45,No,No,No
,GLENCORE FIN MTN 27/02/2019,300000,339697.2,No,Yes,No
,GLENCORE FINANCE EUROPE 5.5% 3/4/2022,500000,552149.5,No,Yes,No
,GLOBAL PMTS INC COM,22505,959649.91,No,No,No
,GOALS SOCCER CENTR ORD GBP0.0025,164474,370066.5,No,No,No
,GOLDMAN SACHS GRP 6.125% EMTN 14/05/2017GBP,850000,931146.1,No,No,No
,GOLDMAN SACHS GRP 6.875% SUB 18/01/38 GBP1000,700000,843087,No,No,No
,GOLDMAN SACHS GRP 7.25% NTS 10/04/28 GBP1000,700000,905238.6,No,No,No
,GOOGLE INC CL A CL A,17554,11735061.25,No,No,No
,GPE BRUXELLES LAM NPV,68031,4076414.21,No,No,No
,GPO MEXICO SA SER'B'COM NPV,1778000,3367327.43,No,Yes,No
,GRAINGER W W INC COM,55100,8349856.44,No,No,No
,GRUPO FINANCIERIO BANORTE S.A.B DE C.A,785100,3162165.54,No,No,No
,GUDANG GARAM TBK IDR500,130000,336517.7,No,No,No
,HANG LUNG PROPERTIES HKD1,1266000,2178173.23,No,No,No
,HANG SENG BANK NPV,368300,3511506.62,No,No,No
,HANKYU HANSHIN HOLDINGS INC NPV,1087000,3551760.87,No,No,No
,HARBOURVEST GLOBAL PRIVATE EQUITY RED ORD A,4645737,30792304.7,No,No,No
,HARBOURVEST SENIOR ORD NPV,12565654,4397978.9,No,No,No
,HARGREAVES LANSDOW ORD GBP0.004,224047,3266605.26,No,No,No
,HARLEY DAVIDSON COM USD0.01,211598,8454273.42,No,No,No
,HASBRO INC COM,83800,2794757.35,No,No,No
,HASTINGS INSURANCE GROUP (FINANCE) 8.0% 21/10/2020,100000,104375,No,No,No
,HAYS PLC ORD GBP0.01,475239,689096.55,No,No,No
,HBOS CAPITAL FDG 6.461%-FRN PERP BDS GBP'A',900000,950049,No,No,No
,HCA INC SR SECD NT 6.5 DUE 02-15-2020,400000,268722.05,No,No,No
,HCL TECHNOLOGIES INR2,160559,2245198.72,No,No,No
,HCP INC COM REIT,42743,994255.73,No,No,No
,HEALTH CARE REIT INC 4.8 DUE 11-20-2028 BEO,400000,402012,No,No,No
,HEALTH NET INC COM,167100,3407851.52,No,No,No
,HECLA MNG CO 6.875% DUE 05-01-2021,600000,349098.74,No,Yes,No
,HEIDELBERGCEMENT F 7.5% MTN 03/04/2020 EUR1000,900000,920897.23,No,No,No
,HEINEKEN NV EUR1.60,144785,6047002.94,No,No,No
,HENDERSON GROUP PL ORD GBP0.125,1578341,4154193.51,No,No,No
,HENGAN INTL HKD0.10,1183300,7333766.65,No,No,No
,HESS CORP COM STK,73800,3668862.21,No,No,Yes
,HEWLETT PACKARD CO COM,109900,2132540.44,No,No,No
,HEXAGON AB SER'B'NPV,120395,2447095.57,No,No,No
,HG CAPITAL TRUST ORD GBP0.25,447623,4704517.73,No,No,No
,HICL INFRASTRUCTURE COMPANY LIMITED ORD GBP0.0001,15919994,21635271.85,No,No,No
,HIKMA PHARMACEUTIC ORD GBP0.10,118214,1961170.26,No,No,No
,HIROSE ELECTRIC NPV,24300,2005522.03,No,No,No
,HKR INTL LTD HKD0.25,1063200,253217.89,No,No,No
,HOLCIM LTD CHF2 (REGD),104500,5190666.03,No,No,No
,HOMESERVE ORD GBP0.025,418502,1318281.3,No,No,No
,HON HAI PRECISION TWD10,2327000,3950990.49,No,No,No
,HONDA MOTOR CO NPV,240400,5088276.46,No,No,No
,HONG KONG & CHINA GAS HKD0.25,2549000,3327139.22,No,No,Yes
,HONG KONG EXCHANGES & CLEAR,238900,2170614.56,No,No,No
,HORMEL FOODS CORP COM,133500,3943781.07,No,No,No
,HOUSING DEVEL FIN INR2,609260,5384838.05,No,No,No
,HOWARD HUGHES CORP COM STOCK,918,78411.18,No,No,No
,HOYA CORP NPV,95100,1779682.61,No,No,No
,HSBC BK FUND(ST2) 5.862%-FRN PERP GBP REGS,1831000,1944998.06,No,No,No
,HSBC HOLDINGS PLC 6% MTN 29/03/40 GBP50000,900000,975026.7,No,No,No
,HSBC HOLDINGS PLC ORD USD0.50(HONGKONG REG),188032,1142106.62,No,No,No
,HUSKY ENERGY INC COM NPV,773764,13939481.35,No,No,Yes
,HUTCHISON WHAM NPV,352000,2798108,No,No,No
,HYUNDAI MOBIS KRW5000,20715,3671179.4,No,No,No
,HYUNDAI MOTOR CO 2ND PRF KRW5000,12458,1060047.42,No,No,No
,IBIDEN CO LTD NPV,311300,3687919.07,No,No,No
,ICICI BANK INR10,113957,1420308.21,No,No,No
,IG GROUP HLDGS ORD GBP0.00005,1556393,9758584.11,No,No,No
,ILLUMINA INC COM,7429,662400.37,No,No,No
,IMMOEAST ENTITL COMSTK,23194,0,No,No,No
,IMPERIAL TOBACCO GBP0.10,709228,17177502.16,No,No,No
,INCITEC PIVOT NPV,3159343,5199040.92,No,No,No
,INDRA SISTEMAS SA EUR0.20 SER 'A',198465,2380699.65,No,No,No
,INFOSYS LIMITED ADR,87800,2852848.1,No,No,No
,ING BANK NV 6.875%-FR SUB 29/05/23 GBP,2150000,2385272.35,No,No,No
,INPEX CORPORATION NPV,446900,3482713.75,No,No,Yes
,INTEL CORP COM,368600,5706484.37,No,No,No
,INTERCONTL HOTELS 3.875% BDS 28/11/22 GBP1000,850000,847500.15,No,No,No
,INTERNATIONAL BUSINESS MACHS CORP COM,98180,11348868.83,No,No,No
,INTERTEK GROUP ORD GBP0.01,234100,7189211,No,No,No
,INTUIT COM,81700,3808729.64,No,No,No
,INTUITIVE SURGICAL INC COM NEW STK,1063,279224.38,No,No,No
,INVESTOR AB SER'B'NPV,48598,1052524.54,No,No,No
,IOMART GROUP ORD GBP0.01,256410,632691.68,No,No,No
,IPROPERTY GROUP NPV,949241,1657070.11,No,No,No
,ITRON INC COM STK NPV,68300,1455597.19,No,No,No
,ITV ORD GBP0.10,1218731,2333869.87,No,No,No
,JAGUAR LAND ROVER PLC 8.25% 15/03/2020,400000,453812,No,No,No
,JAMES HARDIE INDUSTRIES PLC,161191,1282375.37,No,No,No
,JAPAN AIRLINES CO NPV,62400,1842654.29,No,No,No
,JAPAN EXCHANGE GROUP INC NPV,34600,506632.08,No,No,No
,JAPAN TOBACCO INC NPV,139900,2638431.8,No,No,No
,JARDINE LLOYD THOMPSON GROUP ORD GBP0.05,70175,745960.25,No,No,No
,JARDINE MATHESON HLDGS USD0.25(SING QUOTE),85600,3238849.34,No,No,No
,JFE HOLDINGS INC NPV,280800,3176125.41,No,No,No
,JOHN LEWIS PLC 6.125% BDS 21/01/2025 GBP,800000,932504,No,No,No
,JOHNSON & JOHNSON COM USD1,167702,9881154.36,No,No,No
,JOY GLOBAL INC COM,54000,1878655.08,No,No,No
,JP MORGAN CHASE & 6.125%-FR 30/5/17 GBP,650000,634595,No,No,No
,JP MORGAN CHASE BK NA BNDS 3.5% 18/12/2026,2200000,2108975,No,No,No
,JULIUS BAER GRUPPE CHF0.02 (REGD),249955,6658441.72,No,No,No
,JUPITER FUND MGT ORD GBP0.02,441788,1768477.36,No,No,No
,JYSKE BANK A/S DKK10,20304,668185.21,No,No,No
,KAMIGUMI CO LTD NPV,56000,327144.99,No,No,No
,KANSAI PAINT CO NPV,306100,2626137.07,No,No,No
,KAO CORP NPV,182600,3888286.64,No,No,No
,KAWASAKI KISEN KAISHA LTD NPV,2131000,2743007.76,No,No,No
,KAZMUNAIGAS EXPLOR GDR EACH REPR 1/6 ORD'REGS',124167,1042700.35,No,No,Yes
,KBC BANK NV 8% SUB 25/01/2023 USD,600000,403568.94,No,No,No
,KBC GROEP NV 5.625% 19/12/2049,600000,486725.6,No,No,No
,KDDI CORP NPV,50600,1757383.88,No,No,No
,KELLOGG CO COM USD0.25,168562,6339463.61,No,No,No
,KENTZ CORPORATION ORD GBP0.01,252525,1902775.88,No,No,No
,KEPCO PLANT SERVICE & ENGINEERING CO LTDKRW200,2872,109241.64,No,No,No
,KEPPEL CORP NPV,366400,1903195.32,No,No,No
,KEPPEL REIT,102352,55410.52,No,No,No
,KERRY GROUP 'A'ORD EUR0.125,127577,5822954.54,No,No,No
,KIMBERLY-CLARK CORP COM,55500,3670260.4,No,No,No
,KINTETSU CO.,1711000,3647391.72,No,No,No
,KOHLS CORP COM,148927,5075747.02,No,No,No
,KOMATSU NPV,257500,3205037.16,No,No,No
,KONICA MINOLTA INC NPV,529500,2963743.85,No,No,No
,KONINKLIJKE AHOLD,633987,3954823.39,No,No,No
,KONINKLIJKE AHOLD EUR 0.3,0,0,No,No,No
,KONINKLIJKE PHILIP EUR0.20,67300,1419036.8,No,No,No
,KOREA ELEC POWER KRW5000,66570,1367338.71,Yes,No,No
,KROGER CO COM,287100,7518690.72,No,No,No
,KT&G CORPORATION KRW5000,66354,2987541.23,No,No,No
,KUEHNE&NAGEL INTL CHF1 (REGD),44500,3734830.94,No,No,No
,KYOWA HAKKO KIRIN CO LTD NPV,515000,3299523.51,No,No,No
,L-3 COMMUNICATIONS HLDG CORP COM,58100,4117863.17,No,No,No
,L'OREAL EUR0.20,35697,3532475.32,No,No,No
,LAB CORP AMER HLDGS COM NEW,67287,3962593.21,No,No,No
,LAMAR MEDIA CORP 5.875 SNR NT DUE 02-01-2022,550000,349698.57,No,No,No
,LARSEN & TOUBRO INR2,147480,1879523.82,No,No,No
,LEGAL & GENERAL GP 5.875%-FR SUB EMTN PERP GBP,450000,478406.25,No,No,No
,LEGAL & GENERAL GP 6.385%-FR SUB PERP GBP50000,850000,896218.75,No,No,No
,LEGRAND SA EUR4,161097,6005775.74,No,No,No
,LENDER PROCESSING 5.75 DUE 04-15-2023,600000,383738.69,No,No,No
,LEXMARK INTL INC NEW CL A,128000,3554041.11,No,No,No
,LG CHEMICAL KRW5000,27525,3931925.78,No,No,No
,LI & FUNG HKD0.0125,773000,685003.53,No,No,No
,LINCOLN ELEC HLDGS INC COM,25229,1089274.1,No,No,No
,LIVE NATION ENTERTAINMENT INC,223200,2911915.37,No,No,No
,LKQ CORP COM LKQ CORP,134705,2129068.49,No,No,No
,LLOYDS BANK PLC 7.5% SNR EMTN 15/04/24 GBP,500000,642139,No,No,No
,LLOYDS BANK PLC 7.625% MTN 22/04/2025 GBP,750000,911233.5,No,No,No
,LLOYDS TSB BANK PLC 6.5% 17/09/2040,700000,873031.6,No,No,No
,LOBLAWS COS LTD COM NPV,146500,3733124.04,No,No,No
,LOCKHEED MARTIN CORP COM,271401,26572763.45,No,No,No
,LOEWS CORP COM,126500,3342425.5,No,No,No
,LOJAS RENNER SA COM NPV,0,0,No,No,No
,LONDON STOCK EXCHANGE GROUP ORD GBP0.06918604,302122,5948782.18,No,No,No
,LUKOIL INTERNATION 3.416% GTD 24/4/18 USD'REG,1400000,817620.44,No,No,Yes
,LUKOIL OIL COMPANY SPON ADR,101172,3371084.94,No,No,Yes
,M & T BK CORP COM,23257,1692432.64,No,No,No
,MAGNIT GDR(5 GDRS REP 1 ORD) REGS,94193,3090517.82,No,No,No
,MAN AIR GRP FND P BNDS 4.75% 31/03/2034,900000,900102.6,No,No,No
,MARKEL CORP HOLDING CO COM,4310,1541326.12,No,No,No
,MARR EUR0.50,6095,71651.71,No,No,No
,MARSH & MCLENNAN CO'S INC COM,126300,3734113.08,No,No,No
,MARTIN MARIETTA MATLS INC COM,8037,618894.52,No,No,No
,MASTERCARD INC CL A,157759,7068708.03,No,No,No
,MAXIM INTEGRATED PRODS INC COM,105400,2093269.23,No,No,No
,MC DONALDS CORP COM,108828,6399841.94,No,No,No
,MCKESSON CORP,36300,3844579.44,No,No,No
,MEARS GROUP ORD GBP0.01,84604,439940.8,No,No,No
,MECOM GROUP ORD GBP0.6085888,280000,333200,No,No,No
,MEDTRONIC INC COM,67106,2477103.44,No,No,No
,MELROSE INDUST PLC ORD GBP0.0011818181,1526372,4530272.1,No,No,No
,MERCK & CO INC NEW COM,468040,15943370.43,No,No,No
,METCASH LIMITED NPV,728591,1061255.22,No,No,No
,METLIFE INC 5.375% BDS 9/12/24 GBP50000,2300000,2603397.6,No,No,No
,METRO INC COM NPV,124922,4401183.87,No,No,No
,MEX BONOS DESARR FIX RT 6.5% 10/06/2021,173500,831781.68,No,No,No
,MEXICO(UTD MEX ST) 8.5% BDS 13/12/2018 MXN100,356000,1867301.62,No,No,No
,MEXICO(UTD MEX ST) 8.5% MBONOS 31/05/29 MXN100,100500,539823.64,No,No,No
,MICHELIN (CGDE) EUR2,49029,3679565.01,No,No,No
,MICRO FOCUS INTERNATIONAL PLC ORD GBP (POST CON),406654,3375228.2,No,No,No
,MICROSOFT CORP COM,167266,4112547.12,No,No,No
,MITIE GROUP ORD GBP0.025,620000,2016860,No,No,No
,MITSUBISHI ESTATE CO LTD,129000,1834040,No,No,No
,MITSUBISHI UFJ FIN NPV,1901800,6269495.39,No,No,No
,MITSUI & CO LTD NPV,418500,3551455.09,No,No,Yes
,MITSUI O.S.K.LINES NPV,734000,1718594.53,No,No,Yes
,MLP ENERGY TRANSFER EQUITY L P COM UNIT LTD PARTNERSHIP,160800,4508167.56,No,No,No
,MLP ENTERPRISE PRODS PARTNERS L P COM UNIT,95500,3972029.87,No,No,No
,MLP KINDER MORGAN ENERGY PARTNERS L P UNIT LTD PARTNERSHIP INT,73800,3273113.8,No,No,No
,MLP SUNOCO LOGISTICS PARTNERS L P COM UNITS,85700,4666554.02,No,No,No
,MOLSON COORS BREWING CO CL B CL B,113300,3999462.92,No,No,No
,MOLYCORP INC DEL 10 DUE 06-01-2020 REG,350000,207839.71,No,No,No
,MONDELEZ INTL INC COM,176900,3666073.62,No,No,No
,MONITISE PLC ORD GBP0.01,2878505,2043738.55,No,No,No
,MOODYS CORP COM,37200,1769239.61,No,No,No
,"MS&AD INSURANCE GROUP HOLDINGS, INC. NPV",320700,4413813.67,No,No,No
,MSC INDL DIRECT INC CL A COM,30106,1562409.48,No,No,No
,MTR CORP HKD1,1545500,3429885.34,No,No,No
,MUENCHENER RUECKVE NPV(REGD),17423,2290199.57,No,No,No
,MUFG CAPITAL FIN 5 6.299%-FRN PERP GBP1000,850000,921463.75,No,No,No
,MURATA MANUFACTURING CO. NPV,65300,3702545.89,No,No,No
,MYRIAD GENETICS INC COM,54373,1114758.14,No,No,No
,NABORS INDUSTRIES COM USD0.10,161200,2383456.65,No,No,No
,NAMCO BANDAI HLDGS NPV,252800,3595622.11,No,No,No
,NASPERS 'N' ZAR0.02,115409,7601825.75,No,No,No
,NATIONAL GRID ORD GBP0.113953,577260,4745077.2,No,No,No
,NATIONAL OILWELL VARCO COM STK,101300,4732781.41,No,No,Yes
,NATIONWIDE BLDG 6.75% 22/07/2020,900000,897579.05,No,No,No
,NATIONWIDE BUILDING SOCIETY 6.875% PERP GBP100000,250000,252120,No,No,No
,NATL BK OF CANADA COM NPV,88474,2129491.47,No,No,No
,NATL CAPITAL TRUST 5.62%-FRN SUB PERP GBP1000,100000,104687.5,No,No,No
,NATL GRID ELEC TRA 6.5% BDS 27/07/28 GBP(VAR),1750000,2158038.75,No,No,No
,NATL WESTMINSTER 6.5% SB BDS 7/9/21 GBP(VAR),1380000,1504763.04,No,No,No
,NCC GROUP ORD GBP0.01,200000,373500,No,No,No
,NESTLE SA CHF0.10(REGD),358241,16176680.21,No,No,No
,NETEASE INC,76564,3090757.81,No,No,No
,NEW YORK CMNTY BANCORP INC COM,117570,1132576.01,No,No,No
,NEWCREST MINING LTD NPV,182539,1002645.38,No,No,No
,NEWS CORP NEW CDI NPV CLASS B (NEW),90052,896651.53,No,No,No
,NEXTERA ENERGY INC COM,82148,4712121.14,No,No,No
,NGG FINANCE 5.625%-VAR 18/06/73 GBP,450000,457320.15,No,No,No
,NINTENDO CO LTD NPV,64000,4570058.48,No,No,No
,NIPPON PAPER INDUSTRIES CO JPY50,352300,3986912.98,No,No,No
,NIPPON SHINYAKU CO NPV,166000,1890193.05,No,No,No
,NIPPON TELEGRAPH & TELEPHONE CORP NPV,188400,6140587.4,No,No,No
,NISOURCE INC COM,189800,4044983.11,No,No,No
,NISSAN CHEMICAL IN NPV,318200,2865239.82,No,No,No
,NISSAN MOTOR CO LTD,455100,2435979.67,No,No,No
,NITORI HOLDINGS NPV,16400,426020.03,No,No,No
,NOBLE GROUP HKD0.25,4425000,2501103.37,No,Yes,No
,NOMURA HOLDINGS NPV,898900,3460701.6,No,No,No
,NORDEA BANK AB 3.875% NTS 15/12/15 GBP,1750000,1828977.5,No,No,No
,NORSK HYDRO ASA NOK1.098,147050,439766.12,No,No,No
,NORTH. POWERGRID H 7.25% GTD MTN 15/12/22 GBP,850000,1035891.6,No,No,No
,NORTHEAST UTILITIES COM,145900,3981915.01,Yes,No,No
,NOTTING HILL HOUS TRST 4.375% 20/02/2054,900000,886734,No,No,No
,NOVARTIS AG CHF0.50 (REGD),543149,27661308.1,No,No,No
,NTT DOCOMO NPV,1913900,18125545.96,No,No,No
,NTT URBAN DEVELOPM NPV,437100,2466924.72,No,No,No
,NWEN FINANCE PLC 5.875% SNR 21/06/2021 GBP,500000,525285,No,No,No
,ODEON & UCI FINCO 9% NTS 01/08/18 GBP'REGS',250000,262500,No,No,No
,OGE ENERGY CORP COM,174300,3842200.53,Yes,No,No
,OLYMPUS CORP NPV,225700,4318354.05,No,No,No
,OMV AG NPV,62337,1699096.76,No,No,Yes
,OPTIMAL PAYMENTS ORD GBP0.0001,994685,3580866,No,No,No
,ORACLE CORP COM,478343,11769564.04,No,No,No
,ORICA LIMITED NPV,76654,932431.39,No,No,No
,ORIENTAL LAND CO LTD NPV,40700,3719363.85,No,No,No
,ORIGIN ENERGY LTD NPV,270717,2150713.22,No,No,No
,OSAKA GAS CO LTD NPV,318000,724194.45,No,No,Yes
,OVERSEA-CHINESE BANKING CORPORATION SGD0.5,723000,3279584.54,No,No,No
,OW BUNKER A/S DKK1 (BEARER),58582,1099512.95,No,No,No
,PACE PLC ORD GBP0.05,299562,1349227.25,No,No,No
,PANTHEON INTL PART ORD GBP0.67,180000,1967400,No,No,No
,PANTHEON INTL PART RED SHS GBP0.01,180000,1872000,No,No,No
,PARAGON GRP OF COS ORD GBP1,676397,2782697.26,No,No,No
,PAYPOINT ORD GBP0.0033,75973,868371.39,No,No,No
,PEARSON ORD GBP0.25,272746,2896562.52,No,No,No
,PEPSICO INC COM,219611,10999320.64,No,No,No
,PERFORM GROUP PLC ORD GBP0.0278,111276,268286.44,No,No,No
,PERSIMMON ORD GBP0.10,279006,3755420.76,No,No,No
,PERTAMINA PT 5.25 DUE 05-23-2021,700000,420927.91,No,No,Yes
,PERTAMINA PT 6.5% NTS 27/05/41 USD1000,500000,281918.23,No,No,Yes
,PERUSAHAAN GAS COMSTK,5139900,1384113.81,No,No,Yes
,PETRA DIAMONDS ORD GBP0.10,690647,1026992.09,No,No,No
,PETROFAC ORD USD0.02,225552,3243437.76,No,No,Yes
,PETROL BRASILEIROS COM NPV,240716,955332.85,No,No,Yes
,PETROL BRASILEIROS PRF NPV,798793,3348543.09,No,No,Yes
,PFIZER INC COM,1177482,22685852.84,No,No,No
,PG& E CORP COM,251331,6512610.48,No,No,No
,PHONES4U FINANCE 9.5% BDS 01/04/18 GBP'REGS',450000,472680,No,No,No
,PING AN INSURANCE GROUP 'H' CNY1,895000,4436186.14,No,No,No
,PINNACLE W. CAP CORP COM,113100,3707473.61,No,No,No
,PLAINS ALL AMERN PIPELN UNIT LTD PARTNERSHIP INT,117100,3869501.01,No,No,No
,PLAYTECH PLC ORD NPV,1249961,8443486.56,No,No,No
,POLAR CAPITAL HLDG ORD GBP0.025,51183,248749.38,No,No,No
,POSCO KRW5000,7136,1190272.97,No,No,No
,POWER ASSETS HLDGS NPV,909500,4729592.11,Yes,No,No
,PPL CORP COM ISIN US69351T1060,197000,3914830.46,No,No,No
,PRAXAIR INC COM,57995,4556389.43,No,No,No
,PRECISION DRILLING 6.625% DUE 11-15-2020,275000,176498.8,No,No,Yes
,PROCTER & GAMBLE COM NPV,93576,4524023.12,No,No,No
,PROGRESSIVE CORP OH COM,232882,3383259.88,No,No,No
,PROSEGUR SEGURIDAD EUR0.06,978093,3751901.24,No,No,No
,PROVIDENT FINANCIAL GROUP,205742,4077806.44,No,No,No
,PRUDENTIAL 11.375%-FR MTN 29/05/39 GBP,750000,1000692,No,No,No
,PRUDENTIAL 5.7%-FRN MTN 19/12/2063 GBP,1300000,1294321.6,No,No,No
,PRUDENTIAL FINL 5.625 DUE 06-15-2043,700000,428275.77,No,No,No
,PRUDENTIAL GBP0.05,594957,7547029.55,No,No,No
,PT BANK NEGARA IND LKD SHS(IDR7500 & IDR375),1344844,351854.03,No,No,No
,PT MEDIA NUSANTARA IDR100,4260000,590453.72,No,No,No
,PTT PUBLIC COMPANY THB10(ALIEN MKT),490600,2676048.63,No,No,Yes
,PUB SERVICE ENTERPRISE GROUP INC COM,183200,4192232,No,No,No
,PUGET ENERGY INC NEW SR SECD NT 6 9-1-2021,1350000,932975.74,Yes,No,No
,PVTPL BBVA BANCOMER S A INSTITUCION DE BANCA M SUB PFD NT 144A 6.5 DUE,350000,226996.66,No,No,No
,PVTPL BBVA BANCOMER S A TEXAS 6.75 9-30-2022,400000,262723.79,No,No,No
,PVTPL CREDIT SUISSE GROUP AG 6.5 DUE 08-08-2023 BEO,1400000,921632.67,No,No,No
,PVTPL FIRST DATA CORP SR SECD NT 7.375 DUE 06-15-2019,500000,322406.48,No,No,No
,PVTPL HAWK ACQUISITION SUB INC 4.25 BDS 10/15/20 USD2000144A,600000,354047.31,No,No,No
,PVTPL LIBERTY MUT GROUP INC SR NT 144A 4.95% DUE 05-01-2022 BEO,600000,385225.78,No,No,No
,PVTPL PAC DRILLING S A SR SECD NT 144A 5.375 DUE 06-01-2020,600000,357196.39,No,No,Yes
,PVTPL SANTANDER UK PLC SUB NT 5 DUE 11-07-2023 BEO,650000,401114.48,No,No,No
,QIAGEN N V COM,38600,488302.76,No,No,No
,QUALCOMM INC COM,23200,1097412.88,No,No,No
,QUEST DIAGNOSTICS INC COM,97900,3401234.24,No,No,No
,QUINDELL PLC,28173651,10212948.49,No,No,No
,RABOBANK NEDERLAND 5.25% SUB MTN 14/09/27 GBP,1850000,1912859.3,No,No,No
,RABOBANK NEDERLAND VAR RT DUE 31/12/2049,1350000,882239.1,No,No,No
,RAKUTEN INC NPV,363200,2910821.59,No,No,No
,RANGE RES CORP 5.75% DUE 06-01-2021,800000,514050.89,No,No,Yes
,RAYTHEON CO USD0.01,67400,3994313.41,No,No,No
,RECALL HOLDINGS LTD NPV,37385,96438.43,No,No,No
,RECKITT BENCK GRP ORD GBP0.10,250618,12245195.48,No,No,No
,RED ELECTRICA CORP EUR2,13262,644125.01,No,No,No
,REDROW ORD GBP0.10,154639,503195.31,No,No,No
,REGENCY ENERGY 5.5% DUE 04-15-2023,1500000,906487.06,No,No,No
,REGUS PLC ORD GBP0.01,508231,1120141.12,No,No,No
,RENAULT SA EUR3.81,51649,3011969.99,No,No,No
,RENISHAW ORD GBP0.20,47388,923592.12,No,No,No
,RESONA HOLDINGS NPV,1358600,3940689.95,No,No,No
,REYNOLDS AMERICAN INC COM,556488,17834719.17,No,No,No
,RHEINMETALL AG NPV,122542,5164616.31,No,No,No
,RICHEMONT(CIE FIN) CHF1 (REGD),16168,926048.76,No,No,No
,RIGHTMOVE ORD GBP0.01,215348,5678726.76,No,No,No
,RIO TINTO LIMITED NPV,78186,2762353.76,No,Yes,No
,RIO TINTO ORD GBP0.10,99279,3312940.23,No,Yes,No
,RIOCAN REAL ESTATE TRUST UNITS NPV,56291,813720.32,No,No,No
,RITCHIE BROS AUCTIONEERS INC COM,42198,610512.37,No,No,No
,ROC OIL CO LTD NPV,844726,216027.2,No,No,Yes
,ROCHE HLDGS AG GENUSSCHEINE NPV,174866,31466157.78,No,No,No
,ROHM CO LTD NPV,18400,492977.35,No,No,No
,ROLLS ROYCE HLDGS ORD GBP0.20,134500,1444530,No,No,No
,ROTORK GBP0.05,95158,2517880.68,No,No,No
,ROYAL BANK OF SCOT 7.5% EMTN 29/04/2024 GBP,400000,509847.6,No,No,No
,ROYAL BK OF CANADA COM NPV,20800,823921.52,No,No,No
,ROYAL CARIBBEAN 5.25% DUE 11-15-2022,450000,276669.75,No,No,No
,ROYAL CARIBBEAN CRUISES COM STK,88126,2883527.58,No,No,No
,ROYAL DUTCH SHELL 'A'SHS EUR0.07,565210,12389527.26,No,No,Yes
,ROYAL DUTCH SHELL 'B'ORD EUR0.07,171244,4007965.82,No,No,Yes
,RPS GROUP ORD GBP0.03,277778,867222.92,No,No,No
,RSA INSURANCE GROUP PLC ORD GBP0.275,3465239,3103121.52,No,No,No
,RSA INSURANCE GRP NEW ORD GBP0.275(NP-09/04),1299464,396336.52,No,No,No
,RURAL ELECTRIFICAT INR10,237545,544438.52,No,No,No
,RUSSIAN FEDERATION 4.5% 04/04/2022,2600000,1541659.63,No,No,No
,RUSSIAN FEDERATION 5% BDS 29/04/2020 USDREGS,600000,374291.43,No,No,No
,RUSSIAN RAILWAYS VIA RZD CAPITAL PLC 5.7% NTS 05/04/22,1100000,650069.84,No,No,No
,RYANAIR HLDGS ORD EUR0.00635,317356,1999456.42,No,No,No
,RYDER SYS INC COM,59500,2851959.76,No,No,No
,SABMILLER PLC ORD USD0.10,194871,5839833.37,No,No,No
,SAGE GROUP GBP0.01051948,753425,3150069.93,No,No,No
,SAINSBURY(J) ORD GBP0.28571428,4917433,15544005.71,No,No,No
,SAMSUNG ELECTRONIC GDR,4800,1809555.12,No,No,No
,SAMSUNG ELECTRONIC KRW5000,12396,9374197.6,No,No,No
,SAMSUNG ELECTRONIC PFD KRW5000,2075,1219557.92,No,No,No
,SAMSUNG FIRE & MARINE INS.CO.LTD,10641,1430114.62,No,No,No
,SANOFI EUR2,361008,22586618.5,No,No,No
,SAP AG ORD NPV,5868,285392.28,No,No,No
,SAPUTO INC COM NPV,131000,3963921.86,No,No,No
,SBERBANK (SA CAP SA) 5.717% 16/06/2021,800000,485859.07,No,No,No
,SBERBANK OF RUSSIA SPON ADR EA REPR 4 ORD SHS,620761,3615504.87,No,No,No
,SCA PROPERTY GROUP NPV (STAPLED),49239,45304.57,No,No,No
,SCANA CORP NEW COM,153827,4733422.08,No,No,No
,SCHIBSTED ASA NOK1,19157,713207.02,No,No,No
,SCHINDLER-HLDG AG CHF0.10 (PTG CERT),57666,5098275.25,No,No,No
,SCHNEIDER ELECTRIC EUR4.00,322016,17130864.09,No,No,No
,SEATTLE GENETICS INC COM,26800,731749.35,No,No,No
,SECOM CO NPV,97200,3362256.98,No,No,No
,SEEK LIMITED NPV,320870,3130696.6,No,No,No
,SEMPRA ENERGY INC COM STK,67900,3940859.31,No,No,Yes
,SESI L L C 7.125 DUE 12-15-2021,1350000,902888.11,No,No,No
,SEVERN TRENT FIN 3.625% GTD SNR 16/01/26GBP,1950000,1860918.15,No,No,No
,SEVERN TRENT WATER UTIL BNDS 4.875% 24/01/2042,200000,203881.8,No,No,No
,SGS SA CHF1 (REGD),6927,10249316.03,No,No,No
